"Plot Title: AB08-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578616, SEN S/N: 10578616)","Intensity, Lux (LGR S/N: 10578616, SEN S/N: 10578616)","Coupler Detached (LGR S/N: 10578616)","Coupler Attached (LGR S/N: 10578616)","Host Connected (LGR S/N: 10578616)","Stopped (LGR S/N: 10578616)","End Of File (LGR S/N: 10578616)"
415,11/07/14 12:40:57 AM,3.788,0.0,,,,,
416,11/07/14 03:40:57 AM,2.943,0.0,,,,,
417,11/07/14 06:40:57 AM,1.764,0.0,,,,,
418,11/07/14 09:40:57 AM,1.330,43.1,,,,,
419,11/07/14 12:40:57 PM,2.837,366.0,,,,,
420,11/07/14 03:40:57 PM,4.207,344.4,,,,,
421,11/07/14 06:40:57 PM,3.049,0.0,,,,,
422,11/07/14 09:40:57 PM,2.410,0.0,,,,,
423,11/08/14 12:40:57 AM,2.088,0.0,,,,,
424,11/08/14 03:40:57 AM,1.872,0.0,,,,,
425,11/08/14 06:40:57 AM,1.980,0.0,,,,,
426,11/08/14 09:40:57 AM,2.624,96.9,,,,,
427,11/08/14 12:40:57 PM,5.037,441.3,,,,,
428,11/08/14 03:40:57 PM,6.775,387.5,,,,,
429,11/08/14 06:40:57 PM,5.450,0.0,,,,,
430,11/08/14 09:40:57 PM,4.519,0.0,,,,,
431,11/09/14 12:40:57 AM,4.311,0.0,,,,,
432,11/09/14 03:40:57 AM,3.683,0.0,,,,,
