"Plot Title: AM16-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578643, SEN S/N: 10578643)","Intensity, Lux (LGR S/N: 10578643, SEN S/N: 10578643)"
396,10/30/14 10:00:00 PM,6.775,0.0
397,10/31/14 01:00:00 AM,6.370,0.0
398,10/31/14 04:00:00 AM,5.962,0.0
399,10/31/14 07:00:00 AM,5.860,0.0
400,10/31/14 10:00:00 AM,5.655,1463.9
401,10/31/14 01:00:00 PM,6.166,3272.2
402,10/31/14 04:00:00 PM,6.674,6544.5
403,10/31/14 07:00:00 PM,4.311,0.0
404,10/31/14 10:00:00 PM,3.472,0.0
405,11/01/14 01:00:00 AM,3.261,0.0
406,11/01/14 04:00:00 AM,2.943,0.0
407,11/01/14 07:00:00 AM,2.410,0.0
408,11/01/14 10:00:00 AM,3.367,3961.1
409,11/01/14 01:00:00 PM,5.141,9300.1
410,11/01/14 04:00:00 PM,5.141,2583.4
411,11/01/14 07:00:00 PM,2.943,0.0
412,11/01/14 10:00:00 PM,2.303,0.0
413,11/02/14 01:00:00 AM,2.410,0.0
414,11/02/14 04:00:00 AM,1.112,0.0
415,11/02/14 07:00:00 AM,1.112,0.0
416,11/02/14 10:00:00 AM,2.837,3100.0
417,11/02/14 01:00:00 PM,5.655,7577.8
418,11/02/14 04:00:00 PM,5.347,1550.0
419,11/02/14 07:00:00 PM,4.207,0.0
420,11/02/14 10:00:00 PM,3.683,0.0
421,11/03/14 01:00:00 AM,3.367,0.0
422,11/03/14 04:00:00 AM,3.788,0.0
423,11/03/14 07:00:00 AM,4.207,0.0
424,11/03/14 10:00:00 AM,5.141,1291.7
425,11/03/14 01:00:00 PM,6.674,2927.8
426,11/03/14 04:00:00 PM,6.674,1291.7
427,11/03/14 07:00:00 PM,5.962,0.0
428,11/03/14 10:00:00 PM,5.655,0.0
429,11/04/14 01:00:00 AM,5.450,0.0
430,11/04/14 04:00:00 AM,5.347,0.0
431,11/04/14 07:00:00 AM,5.347,0.0
432,11/04/14 10:00:00 AM,5.962,1463.9
433,11/04/14 01:00:00 PM,8.282,11711.2
434,11/04/14 04:00:00 PM,7.782,3444.5
435,11/04/14 07:00:00 PM,5.655,0.0
436,11/04/14 10:00:00 PM,3.683,0.0
437,11/05/14 01:00:00 AM,3.998,0.0
438,11/05/14 04:00:00 AM,3.998,0.0
439,11/05/14 07:00:00 AM,4.623,0.0
440,11/05/14 10:00:00 AM,6.166,3616.7
441,11/05/14 01:00:00 PM,8.581,2583.4
442,11/05/14 04:00:00 PM,8.082,742.7
443,11/05/14 07:00:00 PM,7.582,0.0
444,11/05/14 10:00:00 PM,7.582,0.0
445,11/06/14 01:00:00 AM,7.882,0.0
446,11/06/14 04:00:00 AM,8.082,0.0
447,11/06/14 07:00:00 AM,8.481,0.0
448,11/06/14 10:00:00 AM,7.983,516.7
449,11/06/14 01:00:00 PM,7.983,1377.8
450,11/06/14 04:00:00 PM,6.775,387.5
451,11/06/14 07:00:00 PM,5.244,0.0
452,11/06/14 10:00:00 PM,4.102,0.0
453,11/07/14 01:00:00 AM,2.410,0.0
454,11/07/14 04:00:00 AM,1.439,0.0
455,11/07/14 07:00:00 AM,0.010,0.0
456,11/07/14 10:00:00 AM,0.121,699.7
457,11/07/14 01:00:00 PM,1.764,2066.7
458,11/07/14 04:00:00 PM,2.730,1636.1
459,11/07/14 07:00:00 PM,0.784,0.0
460,11/07/14 10:00:00 PM,0.232,0.0
461,11/08/14 01:00:00 AM,-0.213,0.0
462,11/08/14 04:00:00 AM,-0.325,0.0
463,11/08/14 07:00:00 AM,-0.325,0.0
464,11/08/14 10:00:00 AM,0.232,538.2
465,11/08/14 01:00:00 PM,2.303,1980.6
466,11/08/14 04:00:00 PM,4.102,882.6
467,11/08/14 07:00:00 PM,3.049,0.0
468,11/08/14 10:00:00 PM,2.410,0.0
469,11/09/14 01:00:00 AM,3.472,0.0
470,11/09/14 04:00:00 AM,3.788,0.0
471,11/09/14 07:00:00 AM,3.683,0.0
472,11/09/14 10:00:00 AM,3.367,1097.9
473,11/09/14 01:00:00 PM,5.450,3616.7
474,11/09/14 04:00:00 PM,4.207,4477.8
475,11/09/14 07:00:00 PM,2.088,0.0
476,11/09/14 10:00:00 PM,1.764,0.0
477,11/10/14 01:00:00 AM,1.548,0.0
478,11/10/14 04:00:00 AM,1.221,0.0
479,11/10/14 07:00:00 AM,0.453,0.0
480,11/10/14 10:00:00 AM,-0.102,387.5
481,11/10/14 01:00:00 PM,0.121,635.1
482,11/10/14 04:00:00 PM,2.410,2755.6
483,11/10/14 07:00:00 PM,1.548,0.0
484,11/10/14 10:00:00 PM,0.343,0.0
485,11/11/14 01:00:00 AM,-0.549,0.0
486,11/11/14 04:00:00 AM,-1.114,0.0
487,11/11/14 07:00:00 AM,-1.341,0.0
488,11/11/14 10:00:00 AM,-1.570,2238.9
489,11/11/14 01:00:00 PM,-1.914,2325.0
490,11/11/14 04:00:00 PM,-2.727,409.0
491,11/11/14 07:00:00 PM,-4.514,0.0
492,11/11/14 10:00:00 PM,-5.620,0.0
493,11/12/14 01:00:00 AM,-6.499,0.0
494,11/12/14 04:00:00 AM,-7.010,0.0
495,11/12/14 07:00:00 AM,-7.397,0.0
496,11/12/14 10:00:00 AM,-7.010,376.7
497,11/12/14 01:00:00 PM,-4.880,2325.0
498,11/12/14 04:00:00 PM,-4.393,387.5
499,11/12/14 07:00:00 PM,-6.373,0.0
500,11/12/14 10:00:00 PM,-7.138,0.0
501,11/13/14 01:00:00 AM,-6.499,0.0
502,11/13/14 04:00:00 AM,-6.373,0.0
503,11/13/14 07:00:00 AM,-6.120,0.0
504,11/13/14 10:00:00 AM,-4.393,3616.7
505,11/13/14 01:00:00 PM,-2.377,6200.0
506,11/13/14 04:00:00 PM,-2.610,1097.9
507,11/13/14 07:00:00 PM,-4.031,0.0
508,11/13/14 10:00:00 PM,-3.792,0.0
509,11/14/14 01:00:00 AM,-3.911,0.0
510,11/14/14 04:00:00 AM,-4.272,0.0
511,11/14/14 07:00:00 AM,-4.152,0.0
512,11/14/14 10:00:00 AM,-4.880,1044.1
513,11/14/14 01:00:00 PM,-3.672,2325.0
514,11/14/14 04:00:00 PM,-3.672,452.1
515,11/14/14 07:00:00 PM,-5.125,0.0
516,11/14/14 10:00:00 PM,-5.870,0.0
517,11/15/14 01:00:00 AM,-5.995,0.0
518,11/15/14 04:00:00 AM,-6.246,0.0
519,11/15/14 07:00:00 AM,-6.373,0.0
520,11/15/14 10:00:00 AM,-6.120,398.3
521,11/15/14 01:00:00 PM,-4.031,2325.0
522,11/15/14 04:00:00 PM,-3.553,376.7
523,11/15/14 07:00:00 PM,-4.880,0.0
