"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995245, SEN S/N: 9995245)","Intensity, Lux (LGR S/N: 9995245, SEN S/N: 9995245)","Bad Battery (LGR S/N: 9995245)","Good Battery (LGR S/N: 9995245)","End Of File (LGR S/N: 9995245)"
434,11/10/13 10:00:00 PM,7.882,0.0,,,
435,11/11/13 01:00:00 AM,7.079,0.0,,,
436,11/11/13 04:00:00 AM,7.481,0.0,,,
437,11/11/13 07:00:00 AM,7.280,0.0,,,
438,11/11/13 10:00:00 AM,7.682,1313.2,,,
439,11/11/13 01:00:00 PM,9.077,2152.8,,,
440,11/11/13 04:00:00 PM,9.077,581.3,,,
441,11/11/13 07:00:00 PM,8.282,0.0,,,
442,11/11/13 10:00:00 PM,8.879,0.0,,,
443,11/12/13 01:00:00 AM,9.669,0.0,,,
444,11/12/13 04:00:00 AM,8.978,0.0,,,
445,11/12/13 07:00:00 AM,6.978,0.0,,,
446,11/12/13 10:00:00 AM,7.079,226.0,,,
447,11/12/13 01:00:00 PM,7.782,1463.9,,,
448,11/12/13 04:00:00 PM,7.983,721.2,,,
449,11/12/13 07:00:00 PM,6.674,0.0,,,
450,11/12/13 10:00:00 PM,6.064,0.0,,,
451,11/13/13 01:00:00 AM,5.655,0.0,,,
452,11/13/13 04:00:00 AM,5.141,0.0,,,
453,11/13/13 07:00:00 AM,4.934,0.0,,,
454,11/13/13 10:00:00 AM,4.831,882.6,,,
455,11/13/13 01:00:00 PM,5.757,2755.6,,,
456,11/13/13 04:00:00 PM,5.552,688.9,,,
457,11/13/13 07:00:00 PM,4.623,0.0,,,
458,11/13/13 10:00:00 PM,3.367,0.0,,,
459,11/14/13 01:00:00 AM,2.517,0.0,,,
460,11/14/13 04:00:00 AM,2.303,0.0,,,
461,11/14/13 07:00:00 AM,2.088,0.0,,,
462,11/14/13 10:00:00 AM,2.410,559.7,,,
463,11/14/13 01:00:00 PM,3.049,1237.9,,,
464,11/14/13 04:00:00 PM,3.049,269.1,,,
465,11/14/13 07:00:00 PM,2.303,0.0,,,
466,11/14/13 10:00:00 PM,2.195,0.0,,,
467,11/15/13 01:00:00 AM,1.764,0.0,,,
468,11/15/13 04:00:00 AM,1.221,0.0,,,
