"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
231,10/21/15 07:00:00 AM,9.176,0.0,
232,10/21/15 10:00:00 AM,10.651,204.5,
233,10/21/15 01:00:00 PM,13.269,269.1,
234,10/21/15 04:00:00 PM,13.846,139.9,
235,10/21/15 07:00:00 PM,12.497,0.0,
236,10/21/15 10:00:00 PM,11.236,0.0,
237,10/22/15 01:00:00 AM,11.041,0.0,
238,10/22/15 04:00:00 AM,10.161,0.0,
239,10/22/15 07:00:00 AM,9.176,0.0,
240,10/22/15 10:00:00 AM,9.077,355.2,
241,10/22/15 01:00:00 PM,11.431,893.4,
242,10/22/15 04:00:00 PM,11.041,258.3,
243,10/22/15 07:00:00 PM,9.571,0.0,
244,10/22/15 10:00:00 PM,8.082,0.0,
245,10/23/15 01:00:00 AM,7.682,0.0,
246,10/23/15 04:00:00 AM,6.370,0.0,
247,10/23/15 07:00:00 AM,6.166,0.0,
248,10/23/15 10:00:00 AM,6.978,193.8,
249,10/23/15 01:00:00 PM,11.431,581.3,
250,10/23/15 04:00:00 PM,11.819,204.5,
251,10/23/15 07:00:00 PM,9.965,0.0,
252,10/23/15 10:00:00 PM,9.176,0.0,
253,10/24/15 01:00:00 AM,9.373,0.0,
254,10/24/15 04:00:00 AM,9.077,0.0,
255,10/24/15 07:00:00 AM,9.571,0.0,
256,10/24/15 10:00:00 AM,10.161,43.1,
257,10/24/15 01:00:00 PM,12.207,215.3,
258,10/24/15 04:00:00 PM,14.804,355.2,
259,10/24/15 07:00:00 PM,12.401,0.0,
260,10/24/15 10:00:00 PM,10.651,0.0,
261,10/25/15 01:00:00 AM,10.651,0.0,
262,10/25/15 04:00:00 AM,10.259,0.0,
263,10/25/15 07:00:00 AM,10.651,0.0,
264,10/25/15 10:00:00 AM,12.110,204.5,
265,10/25/15 01:00:00 PM,13.173,129.2,
266,10/25/15 04:00:00 PM,9.965,53.8,
267,10/25/15 07:00:00 PM,10.063,0.0,
268,10/25/15 10:00:00 PM,10.455,0.0,
269,10/26/15 01:00:00 AM,8.481,0.0,
270,10/26/15 04:00:00 AM,7.882,0.0,
271,10/26/15 07:00:00 AM,6.370,0.0,
272,10/26/15 10:00:00 AM,5.962,86.1,
273,10/26/15 01:00:00 PM,7.381,129.2,
274,10/26/15 04:00:00 PM,8.182,32.3,
275,10/26/15 07:00:00 PM,8.082,0.0,
276,10/26/15 10:00:00 PM,8.082,0.0,
277,10/27/15 01:00:00 AM,7.280,0.0,
278,10/27/15 04:00:00 AM,6.573,0.0,
279,10/27/15 07:00:00 AM,6.573,0.0,
280,10/27/15 10:00:00 AM,7.782,193.8,
281,10/27/15 01:00:00 PM,11.236,559.7,
282,10/27/15 04:00:00 PM,11.528,139.9,
283,10/27/15 07:00:00 PM,9.472,0.0,
284,10/27/15 10:00:00 PM,8.779,0.0,
285,10/28/15 01:00:00 AM,8.978,0.0,
286,10/28/15 04:00:00 AM,9.077,0.0,
287,10/28/15 07:00:00 AM,9.571,0.0,
