"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
304,10/20/13 07:00:00 PM,1.003,,
305,10/20/13 09:00:00 PM,1.003,,
306,10/20/13 11:00:00 PM,0.893,,
307,10/21/13 01:00:00 AM,0.893,,
308,10/21/13 03:00:00 AM,0.893,,
309,10/21/13 05:00:00 AM,0.893,,
310,10/21/13 07:00:00 AM,0.893,,
311,10/21/13 09:00:00 AM,0.893,,
312,10/21/13 11:00:00 AM,0.893,,
313,10/21/13 01:00:00 PM,0.893,,
314,10/21/13 03:00:00 PM,1.003,,
315,10/21/13 05:00:00 PM,1.003,,
316,10/21/13 07:00:00 PM,0.893,,
317,10/21/13 09:00:00 PM,0.893,,
318,10/21/13 11:00:00 PM,0.893,,
319,10/22/13 01:00:00 AM,0.893,,
320,10/22/13 03:00:00 AM,0.893,,
321,10/22/13 05:00:00 AM,0.893,,
322,10/22/13 07:00:00 AM,0.893,,
323,10/22/13 09:00:00 AM,0.893,,
324,10/22/13 11:00:00 AM,0.893,,
325,10/22/13 01:00:00 PM,0.893,,
326,10/22/13 03:00:00 PM,0.893,,
327,10/22/13 05:00:00 PM,0.893,,
328,10/22/13 07:00:00 PM,0.893,,
329,10/22/13 09:00:00 PM,0.893,,
330,10/22/13 11:00:00 PM,0.893,,
331,10/23/13 01:00:00 AM,0.893,,
332,10/23/13 03:00:00 AM,0.893,,
333,10/23/13 05:00:00 AM,0.784,,
334,10/23/13 07:00:00 AM,0.893,,
335,10/23/13 09:00:00 AM,0.784,,
336,10/23/13 11:00:00 AM,0.893,,
337,10/23/13 01:00:00 PM,0.893,,
338,10/23/13 03:00:00 PM,0.893,,
339,10/23/13 05:00:00 PM,0.893,,
340,10/23/13 07:00:00 PM,0.784,,
341,10/23/13 09:00:00 PM,0.784,,
342,10/23/13 11:00:00 PM,0.784,,
343,10/24/13 01:00:00 AM,0.784,,
344,10/24/13 03:00:00 AM,0.784,,
345,10/24/13 05:00:00 AM,0.784,,
346,10/24/13 07:00:00 AM,0.784,,
347,10/24/13 09:00:00 AM,0.784,,
348,10/24/13 11:00:00 AM,0.893,,
349,10/24/13 01:00:00 PM,0.893,,
350,10/24/13 03:00:00 PM,0.893,,
351,10/24/13 05:00:00 PM,0.893,,
352,10/24/13 07:00:00 PM,0.784,,
353,10/24/13 09:00:00 PM,0.784,,
354,10/24/13 11:00:00 PM,0.784,,
355,10/25/13 01:00:00 AM,0.784,,
356,10/25/13 03:00:00 AM,0.784,,
357,10/25/13 05:00:00 AM,0.784,,
358,10/25/13 07:00:00 AM,0.784,,
359,10/25/13 09:00:00 AM,0.784,,
360,10/25/13 11:00:00 AM,0.784,,
361,10/25/13 01:00:00 PM,0.784,,
362,10/25/13 03:00:00 PM,0.893,,
363,10/25/13 05:00:00 PM,0.784,,
364,10/25/13 07:00:00 PM,0.784,,
365,10/25/13 09:00:00 PM,0.784,,
366,10/25/13 11:00:00 PM,0.784,,
367,10/26/13 01:00:00 AM,0.784,,
368,10/26/13 03:00:00 AM,0.784,,
369,10/26/13 05:00:00 AM,0.784,,
370,10/26/13 07:00:00 AM,0.784,,
371,10/26/13 09:00:00 AM,0.784,,
372,10/26/13 11:00:00 AM,0.784,,
373,10/26/13 01:00:00 PM,0.784,,
374,10/26/13 03:00:00 PM,0.893,,
375,10/26/13 05:00:00 PM,0.784,,
376,10/26/13 07:00:00 PM,0.784,,
377,10/26/13 09:00:00 PM,0.784,,
378,10/26/13 11:00:00 PM,0.784,,
379,10/27/13 01:00:00 AM,0.784,,
380,10/27/13 03:00:00 AM,0.784,,
381,10/27/13 05:00:00 AM,0.784,,
382,10/27/13 07:00:00 AM,0.784,,
383,10/27/13 09:00:00 AM,0.784,,
384,10/27/13 11:00:00 AM,0.784,,
385,10/27/13 01:00:00 PM,0.784,,
386,10/27/13 03:00:00 PM,0.784,,
387,10/27/13 05:00:00 PM,0.784,,
388,10/27/13 07:00:00 PM,0.784,,
389,10/27/13 09:00:00 PM,0.784,,
390,10/27/13 11:00:00 PM,0.784,,
391,10/28/13 01:00:00 AM,0.784,,
392,10/28/13 03:00:00 AM,0.784,,
393,10/28/13 05:00:00 AM,0.784,,
394,10/28/13 07:00:00 AM,0.784,,
395,10/28/13 09:00:00 AM,0.784,,
396,10/28/13 11:00:00 AM,0.784,,
397,10/28/13 01:00:00 PM,0.784,,
398,10/28/13 03:00:00 PM,0.893,,
399,10/28/13 05:00:00 PM,0.893,,
400,10/28/13 07:00:00 PM,0.784,,
